animal,dose,study,sex,bodyweight,liver
20-0427,14,2,female,18,1.014
20-0390,0,2,female,18.8,0.652
19-0823,14,1,female,14.6,0.803
19-0845,7,1,female,18.7,1.005
19-0857,3.5,1,female,20.2,0.888
19-0820,0,1,female,19.7,0.755
19-0822,3.5,1,female,16.4,0.718
20-0555,1.6,2,female,17.1,0.685
20-0533,3.5,2,female,15.8,0.711
19-0892,0,1,female,16.6,0.648
20-0500,7,2,female,18.5,0.919
19-0893,3.5,1,female,16.3,0.75
20-0571,7,2,female,16.6,0.88
19-0980,0,1,female,18,0.674
19-0914,14,1,female,18.6,0.983
20-0464,7,2,female,18,0.842
19-0846,0,1,female,17.5,0.71
19-0882,7,1,female,19.8,1.106
20-0391,7,2,female,18.4,0.953
20-0434 ,0,2,female,17.5,0.596
20-0372,14,2,female,19.8,1.108
20-0422,3.5,2,female,18,0.782
20-0415,3.5,2,female,18,0.838
20-0542,1.6,2,female,14.4,0.588
20-0570,3.5,2,female,18.1,0.912
19-0988,0,1,female,16.4,0.555
20-0566,1.6,2,female,17.7,0.721
19-0844,14,1,female,18.4,1.245
20-0423,7,2,female,18.8,1.169
20-0411,0,2,female,18.6,0.719
19-0903,0,1,female,20.4,0.811
19-0901,14,1,female,24,1.293
19-0843,3.5,1,female,19.5,0.893
19-0808,7,1,female,20.9,0.975
20-0554,0,2,female,16.3,0.592
20-0453,3.5,2,female,19.8,0.975
20-0559,7,2,female,17.5,0.854
19-0821,1.6,1,female,18.7,0.896
20-0359,0,2,female,16,0.53
20-0456,7,2,female,17.7,0.952
20-0416,7,2,female,19.4,1.218
20-0460,1.6,2,female,18,0.74
20-0553,14,2,female,17.8,1.036
20-0529,0,2,female,15.3,0.592
20-0452,1.6,2,female,16.1,0.682
19-0814,0,1,female,18.4,0.732
19-0818,14,1,female,21.3,1.439
20-0407,3.5,2,female,17.9,0.757
20-0370,1.6,2,female,19.5,0.891
19-0981,14,1,female,18.7,0.936
20-0382,7,2,female,19.5,1.076
20-0492,7,2,female,22.3,1.128
19-0847,1.6,1,female,18.3,0.916
20-0518,0,2,female,18.4,0.666
20-0487,1.6,2,female,19.3,0.817
19-0807,14,1,female,18.6,1.096
19-0848,3.5,1,female,18.1,0.842
20-0576,1.6,2,female,18,0.674
20-0543,3.5,2,female,17.6,0.921
20-0380,3.5,2,female,17.4,0.654
20-0541,0,2,female,19.5,0.605
20-0400,3.5,2,female,17.7,0.753
20-0530,0,2,female,16,0.622
19-0880,1.6,1,female,18.4,0.64
20-0519 ,1.6,2,female,19.1,0.877
20-0501,1.6,2,female,17.3,0.74
20-0419,1.6,2,female,18.6,0.937
20-0446,1.6,2,female,16.5,0.67
20-0524,14,2,female,20,1.167
20-0535,0,2,female,16.7,0.626
19-0899,0,1,female,21.4,0.911
19-0816,1.6,1,female,20.2,0.889
20-0384,1.6,2,female,18.4,0.783
20-0386,14,2,female,18,0.993
20-0418,0,2,female,18.8,0.814
20-0414,1.6,2,female,17.3,0.887
20-0523,7,2,female,18.2,0.945
19-0839,1.6,1,female,19.6,0.901
19-0898,7,1,female,18.8,0.968
19-0982,1.6,1,female,20.7,0.954
20-0499,14,2,female,20.1,1.058
20-0558,3.5,2,female,17.3,0.79
20-0515,14,2,female,19.6,1.248
20-0545,7,2,female,17,0.875
20-0510,7,2,female,15.4,0.793
19-0853,3.5,1,female,18.8,0.979
20-0375,0,2,female,20.9,0.746
