PFAS,tissue,toadID,day,concentration_ug_per_kg
PFOA,liver,22-0180,0,0
PFOA,liver,22-0181,0,0
PFOA,liver,22-0196,0,0
PFOA,liver,22-0199,0,0
PFOA,liver,22-0201,0,0
PFOA,liver,22-0209,0,0
PFOA,liver,22-0210,0,0
PFOA,liver,22-0213,0,0
PFOA,liver,22-0230,0,0
PFOA,liver,22-0231,0,0
PFOA,liver,22-0246,0,0
PFOA,liver,22-0247,0,0
PFOA,liver,22-0237,0,2.541282319
PFOA,wholebody,22-0180,0,0
PFOA,wholebody,22-0181,0,0
PFOA,wholebody,22-0196,0,0
PFOA,wholebody,22-0199,0,0
PFOA,wholebody,22-0201,0,0
PFOA,wholebody,22-0209,0,0
PFOA,wholebody,22-0210,0,0
PFOA,wholebody,22-0213,0,0
PFOA,wholebody,22-0230,0,0
PFOA,wholebody,22-0231,0,0
PFOA,wholebody,22-0246,0,0
PFOA,wholebody,22-0247,0,0
PFOA,wholebody,22-0237,0,1.950037005
PFOA,liver,22-0197,7,4.118080417
PFOA,liver,22-0212,7,0
PFOA,liver,22-0214,7,0
PFOA,liver,22-0232,7,0
PFOA,liver,22-0234,7,0
PFOA,liver,22-0249,7,0
PFOA,liver,22-0200,14,0
PFOA,liver,22-0215,14,0
PFOA,liver,22-0216,14,2.42
PFOA,liver,22-0233,14,0
PFOA,liver,22-0250,14,1.990049999
PFOA,liver,22-0202,21,0
PFOA,liver,22-0217,21,3.03
PFOA,liver,22-0218,21,2.570288286
PFOA,liver,22-0235,21,1.683966815
PFOA,liver,22-0240,21,0
PFOA,liver,22-0251,21,0
PFOA,liver,22-0203,28,0
PFOA,liver,22-0219,28,0.98
PFOA,liver,22-0221,28,0
PFOA,liver,22-0236,28,0
PFOA,liver,22-0241,28,0
PFOA,liver,22-0252,28,0
PFOA,liver,22-0182,35,0
PFOA,liver,22-0220,35,0
PFOA,liver,22-0224,35,0
PFOA,liver,22-0238,35,0
PFOA,liver,22-0253,35,0
PFOA,liver,22-0255,35,1.25
PFOA,liver,22-0183,42,0
PFOA,liver,00-0206,42,0
PFOA,liver,22-0222,42,1.8
PFOA,liver,22-0225,42,0
PFOA,liver,22-0254,42,0
PFOA,liver,22-0186,49,0
PFOA,liver,22-0205,49,0
PFOA,liver,22-0207,49,0
PFOA,liver,22-0223,49,0
PFOA,liver,22-0226,49,0
PFOA,liver,22-0244,49,0
PFOA,liver,22-0187,56,0
PFOA,liver,22-0208,56,0
PFOA,liver,22-0228,56,0
PFOA,liver,22-0229,56,0
PFOA,liver,22-0245,56,0
PFOA,liver,22-0256,56,0
PFOA,wholebody,22-0197,7,1.334005355
PFOA,wholebody,22-0212,7,0
PFOA,wholebody,22-0214,7,0
PFOA,wholebody,22-0232,7,0
PFOA,wholebody,22-0234,7,0
PFOA,wholebody,22-0249,7,0
PFOA,wholebody,22-0200,14,1.52
PFOA,wholebody,22-0215,14,0
PFOA,wholebody,22-0216,14,3.76
PFOA,wholebody,22-0233,14,0.42
PFOA,wholebody,22-0250,14,1.21
PFOA,wholebody,22-0202,21,2.5
PFOA,wholebody,22-0217,21,6.37
PFOA,wholebody,22-0218,21,1.413739114
PFOA,wholebody,22-0235,21,0
PFOA,wholebody,22-0240,21,0
PFOA,wholebody,22-0251,21,0
PFOA,wholebody,22-0203,28,1.49
PFOA,wholebody,22-0219,28,35.89
PFOA,wholebody,22-0221,28,0
PFOA,wholebody,22-0236,28,1.8
PFOA,wholebody,22-0241,28,0
PFOA,wholebody,22-0252,28,0
PFOA,wholebody,22-0182,35,0
PFOA,wholebody,22-0220,35,1.52
PFOA,wholebody,22-0224,35,0
PFOA,wholebody,22-0238,35,0
PFOA,wholebody,22-0253,35,0
PFOA,wholebody,22-0255,35,0
PFOA,wholebody,22-0183,42,0
PFOA,wholebody,00-0206,42,0
PFOA,wholebody,22-0222,42,0
PFOA,wholebody,22-0225,42,0
